1. [211] gl | Priorita' Thread: 10/10 | Metri Percorsi: 1002.929
2. [492] rg | Priorita' Thread: 10/10 | Metri Percorsi: 1007.197
3. [156] ei | Priorita' Thread: 10/10 | Metri Percorsi: 1003.569
4. [356] ma | Priorita' Thread: 9/10 | Metri Percorsi: 1019.832
5. [482] qw | Priorita' Thread: 10/10 | Metri Percorsi: 1001.064
6. [480] qu | Priorita' Thread: 10/10 | Metri Percorsi: 1024.383
7. [525] sn | Priorita' Thread: 10/10 | Metri Percorsi: 1021.866
8. [531] st | Priorita' Thread: 10/10 | Metri Percorsi: 1018.234
9. [622] wg | Priorita' Thread: 10/10 | Metri Percorsi: 1004.914
10. [360] me | Priorita' Thread: 10/10 | Metri Percorsi: 1017.375
11. [617] wb | Priorita' Thread: 10/10 | Metri Percorsi: 1004.689
12. [103] ch | Priorita' Thread: 10/10 | Metri Percorsi: 1012.212
13. [118] cw | Priorita' Thread: 10/10 | Metri Percorsi: 1019.947
14. [522] sk | Priorita' Thread: 10/10 | Metri Percorsi: 1018.298
15. [34] ac | Priorita' Thread: 9/10 | Metri Percorsi: 1000.773
16. [228] hc | Priorita' Thread: 10/10 | Metri Percorsi: 1001.592
17. [349] lt | Priorita' Thread: 10/10 | Metri Percorsi: 1001.635
18. [570] ug | Priorita' Thread: 10/10 | Metri Percorsi: 1011.416
19. [36] ae | Priorita' Thread: 10/10 | Metri Percorsi: 1006.847
20. [181] fh | Priorita' Thread: 10/10 | Metri Percorsi: 1016.151
21. [318] ko | Priorita' Thread: 10/10 | Metri Percorsi: 1023.251
22. [323] kt | Priorita' Thread: 10/10 | Metri Percorsi: 1002.933
23. [419] ol | Priorita' Thread: 9/10 | Metri Percorsi: 1004.779
24. [433] oz | Priorita' Thread: 10/10 | Metri Percorsi: 1009.424
25. [605] vp | Priorita' Thread: 9/10 | Metri Percorsi: 1018.540
26. [664] xw | Priorita' Thread: 10/10 | Metri Percorsi: 1005.301
27. [688] yu | Priorita' Thread: 10/10 | Metri Percorsi: 1005.969
28. [710] zq | Priorita' Thread: 10/10 | Metri Percorsi: 1001.810
29. [232] hg | Priorita' Thread: 10/10 | Metri Percorsi: 1010.442
30. [263] il | Priorita' Thread: 9/10 | Metri Percorsi: 1012.182
31. [264] im | Priorita' Thread: 10/10 | Metri Percorsi: 1002.622
32. [348] ls | Priorita' Thread: 10/10 | Metri Percorsi: 1005.764
33. [394] nm | Priorita' Thread: 9/10 | Metri Percorsi: 1000.955
34. [533] sv | Priorita' Thread: 9/10 | Metri Percorsi: 1001.510
35. [585] uv | Priorita' Thread: 8/10 | Metri Percorsi: 1001.152
36. [619] wd | Priorita' Thread: 10/10 | Metri Percorsi: 1015.186
37. [115] ct | Priorita' Thread: 10/10 | Metri Percorsi: 1014.216
38. [172] ey | Priorita' Thread: 9/10 | Metri Percorsi: 1015.502
39. [184] fk | Priorita' Thread: 10/10 | Metri Percorsi: 1007.545
40. [275] ix | Priorita' Thread: 10/10 | Metri Percorsi: 1003.479
41. [336] lg | Priorita' Thread: 10/10 | Metri Percorsi: 1021.339
42. [344] lo | Priorita' Thread: 9/10 | Metri Percorsi: 1000.317
43. [409] ob | Priorita' Thread: 10/10 | Metri Percorsi: 1002.670
44. [422] oo | Priorita' Thread: 10/10 | Metri Percorsi: 1006.931
45. [451] pr | Priorita' Thread: 9/10 | Metri Percorsi: 1003.867
46. [528] sq | Priorita' Thread: 10/10 | Metri Percorsi: 1010.698
47. [66] bi | Priorita' Thread: 9/10 | Metri Percorsi: 1004.167
48. [130] di | Priorita' Thread: 8/10 | Metri Percorsi: 1016.027
49. [154] eg | Priorita' Thread: 8/10 | Metri Percorsi: 1016.617
50. [421] on | Priorita' Thread: 10/10 | Metri Percorsi: 1000.933
51. [473] qn | Priorita' Thread: 10/10 | Metri Percorsi: 1016.290
52. [478] qs | Priorita' Thread: 9/10 | Metri Percorsi: 1016.518
53. [592] vc | Priorita' Thread: 7/10 | Metri Percorsi: 1004.110
54. [680] ym | Priorita' Thread: 10/10 | Metri Percorsi: 1002.907
55. [136] do | Priorita' Thread: 9/10 | Metri Percorsi: 1003.933
56. [152] ee | Priorita' Thread: 10/10 | Metri Percorsi: 1015.371
57. [186] fm | Priorita' Thread: 8/10 | Metri Percorsi: 1007.147
58. [220] gu | Priorita' Thread: 10/10 | Metri Percorsi: 1011.496
59. [399] nr | Priorita' Thread: 9/10 | Metri Percorsi: 1020.123
60. [468] qi | Priorita' Thread: 10/10 | Metri Percorsi: 1003.082
61. [519] sh | Priorita' Thread: 8/10 | Metri Percorsi: 1003.825
62. [104] ci | Priorita' Thread: 10/10 | Metri Percorsi: 1021.391
63. [123] db | Priorita' Thread: 9/10 | Metri Percorsi: 1003.362
64. [148] ea | Priorita' Thread: 10/10 | Metri Percorsi: 1008.995
65. [235] hj | Priorita' Thread: 10/10 | Metri Percorsi: 1025.764
66. [266] io | Priorita' Thread: 9/10 | Metri Percorsi: 1001.369
67. [279] jb | Priorita' Thread: 8/10 | Metri Percorsi: 1002.958
68. [331] lb | Priorita' Thread: 9/10 | Metri Percorsi: 1014.120
69. [345] lp | Priorita' Thread: 9/10 | Metri Percorsi: 1006.125
70. [388] ng | Priorita' Thread: 10/10 | Metri Percorsi: 1017.657
71. [543] tf | Priorita' Thread: 7/10 | Metri Percorsi: 1011.689
72. [544] tg | Priorita' Thread: 9/10 | Metri Percorsi: 1006.652
73. [646] xe | Priorita' Thread: 9/10 | Metri Percorsi: 1005.103
74. [75] br | Priorita' Thread: 8/10 | Metri Percorsi: 1002.209
75. [106] ck | Priorita' Thread: 8/10 | Metri Percorsi: 1002.767
76. [157] ej | Priorita' Thread: 9/10 | Metri Percorsi: 1007.488
77. [365] mj | Priorita' Thread: 9/10 | Metri Percorsi: 1011.868
78. [496] rk | Priorita' Thread: 9/10 | Metri Percorsi: 1023.904
79. [516] se | Priorita' Thread: 9/10 | Metri Percorsi: 1003.769
80. [521] sj | Priorita' Thread: 8/10 | Metri Percorsi: 1016.104
81. [580] uq | Priorita' Thread: 8/10 | Metri Percorsi: 1002.481
82. [674] yg | Priorita' Thread: 10/10 | Metri Percorsi: 1008.861
83. [200] ga | Priorita' Thread: 8/10 | Metri Percorsi: 1011.109
84. [352] lw | Priorita' Thread: 7/10 | Metri Percorsi: 1007.156
85. [366] mk | Priorita' Thread: 9/10 | Metri Percorsi: 1003.416
86. [376] mu | Priorita' Thread: 10/10 | Metri Percorsi: 1002.466
87. [486] ra | Priorita' Thread: 9/10 | Metri Percorsi: 1001.428
88. [555] tr | Priorita' Thread: 9/10 | Metri Percorsi: 1003.667
89. [599] vj | Priorita' Thread: 10/10 | Metri Percorsi: 1002.597
90. [33] ab | Priorita' Thread: 8/10 | Metri Percorsi: 1014.029
91. [38] ag | Priorita' Thread: 9/10 | Metri Percorsi: 1012.883
92. [65] bh | Priorita' Thread: 10/10 | Metri Percorsi: 1026.304
93. [126] de | Priorita' Thread: 10/10 | Metri Percorsi: 1004.849
94. [261] ij | Priorita' Thread: 10/10 | Metri Percorsi: 1004.693
95. [292] jo | Priorita' Thread: 7/10 | Metri Percorsi: 1000.350
